experiment,feature_set,model,class,precision,recall,f1-score,support
combined_strict_no_tess,full,rbf_svm,accuracy,0.4792626728110599,0.4792626728110599,0.4792626728110599,0.4792626728110599
combined_strict_no_tess,full,rbf_svm,macro avg,0.48502516821874603,0.48184033060569914,0.47930162222859396,1953.0
combined_strict_no_tess,full,rbf_svm,weighted avg,0.4859497393620559,0.4792626728110599,0.47867463923385795,1953.0
single_CREMA-D,mfcc,dummy_most_frequent,neutral,0.0,0.0,0.0,163.0
single_CREMA-D,mfcc,dummy_most_frequent,happy,0.0,0.0,0.0,191.0
single_CREMA-D,mfcc,dummy_most_frequent,sad,0.0,0.0,0.0,191.0
single_CREMA-D,mfcc,dummy_most_frequent,angry,0.1700984780662489,1.0,0.2907421576128539,190.0
single_CREMA-D,mfcc,dummy_most_frequent,fear,0.0,0.0,0.0,191.0
single_CREMA-D,mfcc,dummy_most_frequent,disgust,0.0,0.0,0.0,191.0
single_CREMA-D,mfcc,dummy_most_frequent,accuracy,0.1700984780662489,0.1700984780662489,0.1700984780662489,0.1700984780662489
single_CREMA-D,mfcc,dummy_most_frequent,macro avg,0.028349746344374815,0.16666666666666666,0.04845702626880898,1117.0
single_CREMA-D,mfcc,dummy_most_frequent,weighted avg,0.028933492240454155,0.1700984780662489,0.049454798519643905,1117.0
single_CREMA-D,mfcc,logistic_regression,neutral,0.42162162162162165,0.4785276073619632,0.4482758620689655,163.0
single_CREMA-D,mfcc,logistic_regression,happy,0.48,0.4397905759162304,0.45901639344262296,191.0
single_CREMA-D,mfcc,logistic_regression,sad,0.5221674876847291,0.5549738219895288,0.5380710659898477,191.0
single_CREMA-D,mfcc,logistic_regression,angry,0.7106598984771574,0.7368421052631579,0.7235142118863049,190.0
single_CREMA-D,mfcc,logistic_regression,fear,0.4186046511627907,0.3769633507853403,0.39669421487603307,191.0
single_CREMA-D,mfcc,logistic_regression,disgust,0.44324324324324327,0.4293193717277487,0.43617021276595747,191.0
single_CREMA-D,mfcc,logistic_regression,accuracy,0.5031333930170099,0.5031333930170099,0.5031333930170099,0.5031333930170099
single_CREMA-D,mfcc,logistic_regression,macro avg,0.4993828170315903,0.5027361388406616,0.5002903268382887,1117.0
single_CREMA-D,mfcc,logistic_regression,weighted avg,0.501142921230367,0.5031333930170099,0.5013943385916396,1117.0
single_CREMA-D,mfcc,linear_svm,neutral,0.42702702702702705,0.48466257668711654,0.4540229885057471,163.0
single_CREMA-D,mfcc,linear_svm,happy,0.49714285714285716,0.45549738219895286,0.47540983606557374,191.0
single_CREMA-D,mfcc,linear_svm,sad,0.5089285714285714,0.5968586387434555,0.5493975903614458,191.0
single_CREMA-D,mfcc,linear_svm,angry,0.6826923076923077,0.7473684210526316,0.7135678391959799,190.0
single_CREMA-D,mfcc,linear_svm,fear,0.4533333333333333,0.35602094240837695,0.39882697947214074,191.0
single_CREMA-D,mfcc,linear_svm,disgust,0.42857142857142855,0.39267015706806285,0.4098360655737705,191.0
single_CREMA-D,mfcc,linear_svm,accuracy,0.5058191584601611,0.5058191584601611,0.5058191584601611,0.5058191584601611
single_CREMA-D,mfcc,linear_svm,macro avg,0.4996159208659208,0.5055130196930994,0.5001768831957762,1117.0
single_CREMA-D,mfcc,linear_svm,weighted avg,0.5012716170527272,0.5058191584601611,0.5011427901745772,1117.0
single_CREMA-D,mfcc,random_forest,neutral,0.42105263157894735,0.49079754601226994,0.45325779036827196,163.0
single_CREMA-D,mfcc,random_forest,happy,0.48223350253807107,0.4973821989528796,0.4896907216494845,191.0
single_CREMA-D,mfcc,random_forest,sad,0.5271966527196653,0.6596858638743456,0.586046511627907,191.0
single_CREMA-D,mfcc,random_forest,angry,0.6283185840707964,0.7473684210526316,0.6826923076923077,190.0
single_CREMA-D,mfcc,random_forest,fear,0.46835443037974683,0.193717277486911,0.2740740740740741,191.0
single_CREMA-D,mfcc,random_forest,disgust,0.41397849462365593,0.4031413612565445,0.40848806366047746,191.0
single_CREMA-D,mfcc,random_forest,accuracy,0.4986571172784244,0.4986571172784244,0.4986571172784244,0.4986571172784244
single_CREMA-D,mfcc,random_forest,macro avg,0.49018904931848045,0.4986821114392637,0.48237491151208717,1117.0
single_CREMA-D,mfcc,random_forest,weighted avg,0.4917984406899707,0.4986571172784244,0.4829254594045192,1117.0
single_CREMA-D,mfcc,extra_trees,neutral,0.43349753694581283,0.5398773006134969,0.4808743169398907,163.0
single_CREMA-D,mfcc,extra_trees,happy,0.4970414201183432,0.4397905759162304,0.4666666666666667,191.0
single_CREMA-D,mfcc,extra_trees,sad,0.49606299212598426,0.6596858638743456,0.5662921348314607,191.0
single_CREMA-D,mfcc,extra_trees,angry,0.5894308943089431,0.7631578947368421,0.6651376146788991,190.0
single_CREMA-D,mfcc,extra_trees,fear,0.53125,0.17801047120418848,0.26666666666666666,191.0
single_CREMA-D,mfcc,extra_trees,disgust,0.40331491712707185,0.38219895287958117,0.3924731182795699,191.0
single_CREMA-D,mfcc,extra_trees,accuracy,0.4923903312444047,0.4923903312444047,0.4923903312444047,0.4923903312444047
single_CREMA-D,mfcc,extra_trees,macro avg,0.49176629343769257,0.49378684320411415,0.47301841967719227,1117.0
single_CREMA-D,mfcc,extra_trees,weighted avg,0.49313949001862484,0.4923903312444047,0.4726494990698894,1117.0
single_CREMA-D,mfcc,rbf_svm,neutral,0.48520710059171596,0.5030674846625767,0.4939759036144578,163.0
single_CREMA-D,mfcc,rbf_svm,happy,0.5224719101123596,0.4869109947643979,0.5040650406504065,191.0
